ID,Title,Animation,Comedy,Drama,Adventure,Mistery,Fiction,Thriller,Musical
1306,Sebastian Olzanski,1,0,0,0,0,0,0,0
1307,Mackenzie Sol,1,0,0,0,0,0,0,0
1308,Erika Costell,1,0,0,0,0,0,0,0
1309,DantÃ© Williams,1,0,0,0,0,0,0,0
1310,Tighteyez,1,0,0,0,0,0,0,0
1311,Sydney A. Foster,1,0,0,0,0,0,0,0
1312,Emmalynn Minassian,1,0,0,0,0,0,0,0
1313,Josh Miller,1,0,0,0,0,0,0,0
1314,Tiffany Day,1,0,0,0,0,0,0,0
1315,Ricci Bitti,1,0,0,0,0,0,0,0
1316,Alex Mytton,1,0,0,0,0,0,0,0
1317,DJ Hannah B,1,0,0,0,0,0,0,0
1318,CÃ©line Paolini,1,0,0,0,0,0,0,0
1319,Vagina Slayer,1,1,0,0,0,0,0,0
1320,DJ Ryan Wolf,1,0,0,0,0,0,0,0
1321,Kye Sones,1,0,0,0,0,0,0,0
1322,Angelina Lavo,1,0,0,0,0,0,0,0
1323,Nainoa Langer,1,0,0,0,0,0,0,0
1324,T-Wayne,1,0,0,0,0,0,0,0
1325,Steven Martinez,1,0,0,0,0,0,0,0
1326,Kevin Laroy,1,0,0,0,0,0,0,0
1327,Jay Joree,1,0,0,0,0,0,0,0
1328,JÄ“fÄ— Digitals,1,0,0,0,0,0,0,0
1329,Rain Paris,1,0,0,0,0,0,0,0
1330,Nita Chantelle,1,0,0,0,0,0,0,0
1331,Hailey Losselyong,1,0,0,0,0,0,0,0
1332,Mark Nguyen,1,0,0,0,0,0,0,0
1333,Destiny Dixon,1,0,0,0,0,0,0,0
1334,Fred T. Williams,1,0,0,0,0,0,0,0
1335,LZRD,1,0,0,0,0,0,0,0
1336,Jayden Yoon ZK,1,0,0,0,0,0,0,0
1337,Paul Manners,1,0,0,0,0,0,0,0
1338,Carlo Rossi,1,0,0,0,0,0,0,0
1339,Dorian Electra,1,0,0,0,0,0,0,0
1340,Makeup Mafiaxx,1,0,0,0,0,0,0,0
1341,Raylin Joy,1,0,0,0,0,0,0,0
1342,Jackie Sorkin,1,0,0,0,0,0,0,0
1343,Destiny Petrel,1,0,0,0,0,0,0,0
1344,Cammie Carter,1,0,0,0,0,0,0,0
1345,Susan Prieto,1,0,0,0,0,0,0,0
1346,Ash,1,0,0,0,0,0,0,0
1347,Deoz Stranger,1,0,0,0,0,0,0,0
1348,Deborah Andrade,1,0,0,0,0,0,0,0
1349,The Pretty Bully,1,0,0,0,0,0,0,0
1350,David Brodeur,1,0,0,0,0,0,0,0
1351,Seb Mueller,1,0,0,0,0,0,0,0
1352,Steven Chavez,1,0,0,0,0,0,0,0
1353,Ian Barnard,1,0,0,0,0,0,0,0
1354,Sir Trapington,1,0,0,0,0,0,0,0
1355,K. Smyllz,1,0,0,0,0,0,0,0
1356,Caitlin Marks,1,0,0,0,0,0,0,0
1357,Brandan Bmike Odums,1,0,0,0,0,0,0,0
1358,Daniel Schiffer,1,0,0,0,0,0,0,0
1359,Tommy Capretto,1,0,0,0,0,0,0,0
1360,Jon is Awake,1,0,0,0,0,0,0,0
1361,Erik Anders,1,0,0,0,0,0,0,0
1362,Enrique Alex,1,0,0,0,0,0,0,0
1363,Official Fuego,1,0,0,0,0,0,0,0
1364,Andres Diaz,1,0,0,0,0,0,0,0
1365,Hector Xpinoza,1,0,0,0,0,0,0,0
1366,King Keenan,1,0,0,0,0,0,0,0
1367,Nick Drossos,1,0,0,0,0,0,0,0
1368,Harold Apples,1,0,0,0,0,0,0,0
1369,Clawdeena,1,0,0,0,0,0,0,0
1370,Tyrone Smith,1,0,0,0,0,0,0,0
1371,Alok Vaid Menon,1,0,0,0,0,0,0,0
1372,Savannah Jennings,1,0,0,0,0,0,0,0
1373,Luie rivera,1,0,0,0,0,0,0,0
1374,Kid The Wiz,1,0,0,0,0,0,0,0
1375,Levinho,1,0,0,0,0,0,0,0
1376,Steven â€œPhillyflyboyâ€ Philip,1,0,0,0,0,0,0,0
1377,Brandon Hatcher,1,0,0,0,0,0,0,0
1378,Susan Holloway,1,0,0,0,0,0,0,0
1379,Gian Bravo,1,0,0,0,0,0,0,0
1380,Arizona Zervas,1,0,0,0,0,0,0,0
1381,D. S. Bradford,1,0,0,0,0,0,0,0
1382,Og Ron C,1,0,0,0,0,0,0,0
1383,Marcella,1,0,0,0,0,0,0,0
1384,Thaddeus Lewis,1,0,0,0,0,0,0,0
1385,Tony Ricca,1,0,0,0,0,0,0,0
1386,Devon Cajuste,1,0,0,0,0,0,0,0
1387,Forrest Griffin,1,0,0,0,0,0,0,0
1388,Arthur Moats,1,0,0,0,0,0,0,0
1389,Helio Castroneves,1,0,0,0,0,0,0,0
1390,Ryan Arcidiacono,1,0,0,0,0,0,0,0
1391,Jake Butt,1,0,0,0,0,0,0,0
1392,Shane Smith,1,0,0,0,0,0,0,0
1393,Pierre Thomas,1,0,0,0,0,0,0,0
1394,Dalton Castle,1,0,0,0,0,0,0,0
1395,Ryan Switzer,1,0,0,0,0,0,0,0
1396,Montee Ball,1,0,0,0,0,0,0,0
1397,Cassie MacIntosh,1,0,0,0,0,0,0,0
1398,Bruce Buffer,1,0,0,0,0,0,0,0
1399,Julian Gressel,1,0,0,0,0,0,0,0
1400,Matt Leinart,1,0,0,0,0,0,1,0
1401,Zay Jones,1,0,0,0,0,0,0,0
1402,Maurice Hurst Jr.,1,0,0,0,0,0,0,0
1403,Joe Thomas,1,0,0,0,0,0,0,0
1404,Ken Shamrock,1,0,0,0,0,0,0,1
1405,Bobby Hull,1,0,0,0,0,0,0,0
1406,Derrick Brooks,1,0,0,0,0,0,0,0
1407,Bobby Robins,1,0,0,0,0,0,0,0
1408,Landon Collins,1,0,0,0,0,0,0,0
1409,Geoff Blum,1,0,0,0,0,0,0,0
1410,Lance Moore,1,0,0,0,0,0,0,0
1411,Joe Schobert,1,0,0,0,0,0,0,0
1412,Justin Simmons,1,0,0,0,0,0,0,0
1413,Kristjan Sokoli,1,0,0,0,0,0,0,0
1414,Summer Sanders,1,1,0,0,0,0,0,0
1415,Hunter Henry,1,0,0,0,0,0,0,0
1416,Matt Cardona,1,0,0,0,0,0,0,0
1417,Will Perdue,1,0,0,0,0,0,0,0
1418,Devon Kennard,1,0,0,0,0,0,0,0
1419,Whit Merrifield,1,0,0,0,0,0,0,0
1420,Andre Reed,1,0,0,0,0,0,0,0
1421,Joe Pace,1,0,0,0,0,0,0,0
1422,Chris Leben,1,0,0,0,0,0,0,1
1423,Kurt Benkert,1,0,0,0,0,0,0,0
1424,Matt Bonner,1,0,0,0,0,0,0,0
1425,Bill Wennington,1,0,0,0,0,0,0,0
1426,Isaac Bruce,1,0,0,0,0,0,0,0
1427,Ore Arogundade,1,0,0,0,0,0,0,0
1428,Dion Lewis,1,0,0,0,0,0,0,0
1429,Christian Kirk,1,0,0,0,0,0,0,0
1430,Conor Daly,1,0,0,0,0,0,0,0
1431,Jamal Anderson,1,0,0,0,0,0,0,0
1432,Mike Singletary,1,0,0,0,0,0,0,0
1433,Levi Wallace,1,0,0,0,0,0,0,0
1434,Christopher McDonald,1,0,0,0,0,0,0,0
1435,Daniel â€˜Rudyâ€™ Ruettiger,1,0,0,0,0,0,0,0
1436,Brian Mitchell,1,0,0,0,0,0,0,0
1437,Brett Phillips,1,0,0,0,0,0,0,0
1438,Kyle Peko,1,0,0,0,0,0,0,0
1439,Aiden English,1,0,0,0,0,0,0,0
1440,Riley Bullough,1,0,0,0,0,0,0,0
1441,Teddy Atlas,1,0,0,0,0,0,0,0
1442,Chris Wormley,1,0,0,0,0,0,0,0
1443,Dion Dawkins,1,0,0,0,0,0,0,0
1444,Karen Chen,1,0,0,0,0,0,0,0
1445,Karan Higdon,1,0,0,0,0,0,0,0
1446,Alvin Jones,1,0,0,0,0,0,0,0
1447,Darren Fells,1,0,0,0,0,0,0,0
1448,Dexter Williams,1,0,0,0,0,0,0,0
1449,Tim Dillard,1,0,0,0,0,0,0,0
1450,Nate Bozung,1,0,0,0,0,0,0,0
1451,Billy Gunn,1,0,0,0,0,0,0,0
1452,Wade Baldwin IV,1,0,0,0,0,0,0,0
1453,Shawn Spears,1,0,0,0,0,0,0,0
1454,Harrison Phillips,1,0,0,0,0,0,0,0
1455,Shaquil Barrett,1,0,0,0,0,0,0,0
1456,Rashad Greene,1,0,0,0,0,0,0,0
1457,Joe Jones,1,0,0,0,0,0,0,0
1458,Ian Park,1,0,0,0,0,0,0,0
1459,Nick Novak,1,0,0,0,0,0,0,0
1460,Smush Parker,1,0,0,0,0,0,0,0
1461,Chavo Guerrero Jr,1,0,0,0,0,0,0,0
1462,Ben Verlander,1,0,0,0,0,0,0,0
1463,Shannon Stewart,1,0,0,0,0,0,0,0
1464,Jeff Driskel,1,0,0,0,0,0,0,0
1465,Chase d'Arnaud,1,0,0,0,0,0,0,0
1466,Paige Vanzant,1,0,0,0,0,0,0,1
1467,Derek Holland,1,0,0,0,0,0,0,0
1468,Terrelle Pryor,1,0,0,0,0,0,0,0
1469,DaeSean Hamilton,1,0,0,0,0,0,0,0
1470,Danielle Wyatt,1,0,0,0,0,0,0,0
1471,RJ Prince,1,0,0,0,0,0,0,0
1472,Greg Joseph,1,0,0,0,0,0,0,0
1473,Chip Caray,1,0,0,0,0,0,0,0
1474,Jonathan Allen,1,0,0,0,0,0,0,0
1475,Tiffany Hayes,1,0,0,0,0,0,0,0
1476,Ray Williams,1,0,0,0,0,0,0,0
1477,Jacob Hester,1,0,0,0,0,0,0,0
1478,Frankie Montas,1,0,0,0,0,0,0,0
1479,Quenton Meeks,1,0,0,0,0,0,0,0
1480,Frank Trigg,1,0,0,0,0,0,0,1
1481,Andrew Wingard,1,0,0,0,0,0,0,0
1482,Kendall Joseph,1,0,0,0,0,0,0,0
1483,Christian Miller,1,0,0,0,0,0,0,0
1484,Plaxico Burress,1,0,0,0,0,0,0,0
1485,Taylor Fritz,1,0,0,0,0,0,0,0
1486,Gilbert Brown,1,0,0,0,0,0,0,0
1487,Fallon Taylor,1,0,0,0,0,0,0,0
1488,James Williams,1,0,0,0,0,0,0,0
1489,Isaiah Mckenzie,1,0,0,0,0,0,0,0
1490,Prince Amukamara,1,0,0,0,0,0,0,0
1491,Gerald Henderson,1,0,0,0,0,0,0,0
1492,Scotty Lago,1,0,0,0,0,0,0,0
1493,Mark Andrews,1,0,0,0,0,0,0,0
1494,Nate Adams,1,0,0,0,0,0,0,0
1495,Manteo Mitchell,1,0,0,0,0,0,0,0
1496,DeAndre Washington,1,0,0,0,0,0,0,0
1497,Cody Core,1,0,0,0,0,0,0,0
1498,Monica Abbott,1,0,0,0,0,0,0,0
1499,Sean Elliott,1,0,0,0,0,0,0,0
1500,Jesse Kriel,1,0,0,0,0,0,0,0
1501,Marty Scurll,1,0,0,0,0,0,0,0
1502,Steve Lyons,1,0,0,0,0,0,0,0
1503,Devin White,1,0,0,0,0,0,0,0
1504,Marin Cilic,1,0,0,0,0,0,1,0
1505,Barry McGunthrie Jr.,1,0,0,0,0,0,0,0
1506,Jesse Iwuji,1,0,0,0,0,0,0,0
1507,Avery Williamson,1,0,0,0,0,0,0,0
1508,Dalton Risner,1,0,0,0,0,0,0,0
1509,Michael Essien,1,0,0,0,0,0,1,0
1510,Nyqwan Murray,1,0,0,0,0,0,0,0
1511,Cecil Martin,1,0,0,0,0,0,0,0
1512,Garrett Dickerson,1,0,0,0,0,0,0,0
1513,Charlie Villanueva,1,0,0,0,0,0,0,0
1514,LenDale White,1,0,0,0,0,0,0,0
1515,Joey Calistri,1,0,0,0,0,0,0,0
1516,CJ Reavis,1,0,0,0,0,0,0,0
1517,Isaac Nauta,1,0,0,0,0,0,0,0
1518,Eric Radford,1,0,0,0,0,0,0,0
1519,Ty Summers,1,0,0,0,0,0,0,0
1520,Ameer Abdullah,1,0,0,0,0,0,0,0
1521,Sheldrick Redwine,1,0,0,0,0,0,0,0
1522,Alexander Mattison,1,0,0,0,0,0,0,0
1523,Jim Knous,1,0,0,0,0,0,0,0
1524,Kaytlin Katniss Neil,1,0,0,0,0,0,0,0
1525,JP Garcia,1,0,0,0,0,0,0,0
1526,Nick 'Honey Badger' Cummins,1,0,0,0,0,0,0,0
1527,Andy Gray,1,0,0,0,0,0,0,0
1528,Harrison Browne,1,0,0,0,0,0,0,0
1529,Salina de la Renta,1,0,0,0,0,0,0,0
1530,Bruno Fratus,1,0,0,0,0,0,0,0
1531,Yohan Blake,1,0,0,0,0,0,0,0
1532,Sean Davis,1,0,0,0,0,0,0,0
1533,Orlando Hudson,1,0,0,0,0,0,0,0
1534,Aaron Long,1,0,0,0,0,0,0,0
1535,David Boudia,1,0,0,0,0,0,0,0
1536,Julian Love,1,0,0,0,0,0,0,0
1537,Andruw Jones,1,0,0,0,0,0,0,0
1538,Tiffany Mitchell,1,0,0,0,0,0,0,0
1539,Janie Takeda Reed,1,0,0,0,0,0,0,0
1540,Carly Patterson,1,0,0,0,0,0,0,0
1541,Justice Hill,1,0,0,0,0,0,0,0
1542,Tino Best,1,0,0,0,0,0,0,0
1543,Taylor Cusack,1,0,0,0,0,0,0,0
1544,Evan Cowley,1,0,0,0,0,0,0,0
1545,Road Warrior Animal L.O.D.,1,0,0,0,0,0,0,0
1546,Landon Cassill,1,0,0,0,0,0,0,0
1547,Hannah Gregg,1,0,0,0,0,0,0,0
1548,Monyca Eleogram,1,0,0,0,0,0,0,0
1549,Cameron Lynch,1,0,0,0,0,0,0,0
1550,Patricio Oâ€™Ward,1,0,0,0,0,0,0,0
1551,Dion Bailey,1,0,0,0,0,0,0,0
1552,Ishmael Zamora,1,0,0,0,0,0,0,0
1553,Chris Masters,1,0,0,0,0,0,0,0
1554,Crank,1,0,0,0,0,0,0,0
1555,Fred Kerley,1,0,0,0,0,0,0,0
1556,Brendan Langley,1,0,0,0,0,0,0,0
1557,Will Parks,1,0,0,0,0,0,0,0
1558,Kerry Wynn,1,0,0,0,0,0,0,0
1559,Cody Hollister,1,0,0,0,0,0,0,0
1560,Kris Gethin,1,0,0,0,0,0,0,0
1561,Ryan Guettler,1,0,0,0,0,0,0,0
1562,Stacey King,1,0,0,0,0,0,0,0
1563,Josey Jewell,1,0,0,0,0,0,0,0
1564,Shannon Briggs,1,0,0,0,0,0,0,0
1565,Michelle Carter,1,0,0,0,0,0,0,0
1566,"Dustin ""Dreddy"" Brown",1,0,0,0,0,0,0,0
1567,Rhys Webb,1,0,0,0,0,0,0,0
1568,Gillberg,1,0,0,0,0,0,0,0
1569,Justin Gatlin,1,0,0,0,0,0,0,0
1570,Taylor Rapp,1,0,0,0,0,0,0,0
1571,Simeon Rice,1,0,0,0,0,0,0,0
1572,Garrett Hartley,1,0,0,0,0,0,0,0
1573,Andreas Cahling,1,0,0,0,0,0,0,0
1574,Kemon Hall,1,0,0,0,0,0,0,0
1575,Maurice Smith II,1,0,0,0,0,0,0,0
1576,Jesse La Flair,1,0,0,0,0,0,0,0
1577,Daron Payne,1,0,0,0,0,0,0,0
1578,Monique Billings,1,0,0,0,0,0,0,0
1579,Brett Hundley Jr,1,0,0,0,0,0,0,0
1580,James Ellington,1,0,0,0,0,0,0,0
1581,Gaizka Mendieta,1,0,0,0,0,0,0,0
1582,Liam Coyte,1,0,0,0,0,0,0,0
1583,Andrew Fifita,1,0,0,0,0,0,0,0
1584,Austin Bryant,1,0,0,0,0,0,0,0
1585,Michael Jordan,1,0,0,0,0,0,0,0
1586,Patrick Ricard,1,0,0,0,0,0,0,0
1587,"""The Young Gun"" Chandler Hopkins",1,0,0,0,0,0,0,0
1588,Terrance Mitchell,1,0,0,0,0,0,0,0
1589,Suâ€™a Cravens,1,0,0,0,0,0,0,0
1590,Kevin Howard,1,0,0,0,0,0,0,0
1591,Jaden Dupree,1,0,0,0,0,0,0,0
1592,Jaron Brown,1,0,0,0,0,0,0,0
1593,Major Wright,1,0,0,0,0,0,0,0
1594,Aric Almirola,1,0,0,0,0,0,0,0
1595,Cooper Kupp,1,0,0,0,0,0,0,0
1596,Bethany Grieve,1,0,0,0,0,0,0,0
1597,Patrick Patterson,1,0,0,0,0,0,0,0
1598,Stacey Ervin Jr.,1,0,0,0,0,0,0,0
1599,Michael Floyd,1,0,0,0,0,0,0,0
1600,Cole Tucker,1,0,0,0,0,0,0,0
1601,Dieugot Joseph,1,0,0,0,0,0,0,0
1602,Allonzo Trier,1,0,0,0,0,0,0,0
1603,Eric LeGrand,1,0,0,0,0,0,0,0
1604,Justin Bethel,1,0,0,0,0,0,0,0
1605,nZo (fka Enzo Amore),1,0,0,0,0,0,0,0
1606,Cairo Santos,1,0,0,0,0,0,0,0
1607,Vince Young,1,0,0,0,0,0,0,0
1608,Jack Cichy,1,0,0,0,0,0,0,0
1609,Tyrel Dodson,1,0,0,0,0,0,0,0
1610,Devin Funchess,1,0,0,0,0,0,0,0
1611,Sandra Gal,1,0,0,0,0,0,0,0
1612,Lance McCullers Jr.,1,0,0,0,0,0,0,0
1613,Henrik Larsson,1,0,0,0,0,0,0,0
1614,Joe Dineen,1,0,0,0,0,0,0,0
1615,Trovon Reed,1,0,0,0,0,0,0,0
1616,Rachel Stuhlmann,1,0,0,0,0,0,0,0
1617,Brianna McNeal,1,0,0,0,0,0,0,0
1618,Shelby Harris,1,0,0,0,0,0,0,0
1619,Donald Young,1,0,0,0,0,0,0,0
1620,Yousri Belgaroui,1,0,0,0,0,0,0,0
1621,Liam Harrison,1,0,0,0,0,0,0,0
1622,Justin James,1,0,0,0,0,0,0,0
1623,Trevone Boykin,1,0,0,0,0,0,0,0
1624,D.J. Jones,1,0,0,0,0,0,0,0
1625,Joshua Jacobs,1,0,0,0,0,0,0,0
1626,Arden Key,1,0,0,0,0,0,0,0
1627,Mario Chalmers,1,0,0,0,0,0,0,0
1628,Sarina Morales,1,0,0,0,0,0,0,0
1629,Bud Norris,1,0,0,0,0,0,0,0
1630,Trina Guytingco,1,0,0,0,0,0,0,0
1631,Violet Ann,1,0,0,0,0,0,0,0
1632,Joanne Calderwood,1,0,0,0,0,0,0,1
1633,Michelle Waterson,1,0,0,0,0,0,0,0
1634,Ray-Ray McCloud III,1,0,0,0,0,0,0,0
1635,Jack Bridge,1,0,0,0,0,0,0,0
1636,Marqui Christian,1,0,0,0,0,0,0,0
1637,Trevor May,1,0,0,0,0,0,0,0
1638,Nick Aldis,1,0,0,0,0,0,0,0
1639,Brandon Schmidt,1,0,0,0,0,0,0,0
1640,Lorenzo Alexander,1,0,0,0,0,0,0,0
1641,Kameron Kade,1,0,0,0,0,0,0,0
1642,Antone Exum,1,0,0,0,0,0,0,0
1643,Mike Gesicki,1,0,0,0,0,0,0,0
1644,Justin Coleman,1,0,0,0,0,0,0,0
1645,Lauren Smith,1,0,0,0,0,0,0,0
1646,Ryon Healy,1,0,0,0,0,0,0,0
1647,John Franklin III,1,0,0,0,0,0,0,0
1648,Auden Tate,1,0,0,0,0,0,0,0
1649,John Miller,1,0,0,0,0,0,0,0
1650,Walter Harris,1,0,0,0,0,0,0,1
1651,Duhop,1,0,0,0,0,0,0,0
1652,Holly Holm,1,0,0,0,0,0,0,1
1653,Demetrius Knox,1,0,0,0,0,0,0,0
1654,Rico Gafford,1,0,0,0,0,0,0,0
1655,Kenny Clark,1,0,0,0,0,0,0,0
1656,Jessica Griffith,1,0,0,0,0,0,0,0
1657,Ivory Latta,1,0,0,0,0,0,0,0
1658,Nick Mullens,1,0,0,0,0,0,0,0
1659,Dante Hall,1,0,0,0,0,0,0,0
1660,Kalen Ballage,1,0,0,0,0,0,0,0
1661,Chris Viall,1,0,0,0,0,0,0,0
1662,Trevoh Chalobah,1,0,0,0,0,0,0,0
1663,Adrian Mutu,1,0,0,0,0,0,0,0
1664,Tim Smyczek,1,0,0,0,0,0,0,0
1665,Dewayne Dedmon,1,0,0,0,0,0,0,0
1666,Jordan Jenkins,1,0,0,0,0,0,0,0
1667,Luis Robles,1,0,0,0,0,0,0,0
1668,Ron Jaworski,1,0,0,0,0,0,0,0
1669,Graeme McDowell,1,0,0,0,0,0,0,0
1670,Mascot Chuck Liddell,1,0,0,0,0,0,0,1
1671,Joseph Fauria,1,0,0,0,0,0,0,0
1672,Jordan Devlin,1,0,0,0,0,0,0,0
1673,Aria Blake,1,0,0,0,0,0,0,0
1674,Jake The Snake Roberts,1,0,0,0,0,0,0,0
1675,Ledley King,1,0,0,0,0,0,0,0
1676,Chris Johnson,1,0,0,0,0,0,0,0
1677,Michael Duberry,1,0,0,0,0,0,0,0
1678,Chantae McMillan,1,0,0,0,0,0,0,0
1679,Big Will Simmons,1,0,0,0,0,0,0,0
1680,Tanner Gentry,1,0,0,0,0,0,0,0
1681,Shad Gaspard,1,0,0,0,0,0,0,0
1682,Zak Drake,1,0,0,0,0,0,0,0
1683,Benedikt Magnusson,1,0,0,0,0,0,0,0
1684,Maurice Edu,1,0,0,0,0,0,0,0
1685,Akil Thomas,1,0,0,0,0,0,0,0
1686,Byron Scott,1,0,0,0,0,0,0,0
1687,Errol A. Robinson,1,0,0,0,0,0,0,0
1688,Marshall Faulk,1,0,0,0,0,0,1,0
1689,Tyrell Crosby,1,0,0,0,0,0,0,0
1690,Kelvim Escobar,1,0,0,0,0,0,0,0
1691,Caroline Gleich,1,0,0,0,0,0,0,0
1692,Rob Van Dam,1,0,0,0,0,0,0,0
1693,Kendrick. L .Bourne,1,0,0,0,0,0,0,0
1694,Antonio Cromartie,1,1,0,0,0,0,0,0
1695,Duane Solomon,1,0,0,0,0,0,0,0
1696,Dexton Crutchfield,1,0,0,0,0,0,0,0
1697,Nic Kerdiles,1,0,0,0,0,0,0,0
1698,Devon Larratt,1,0,0,0,0,0,0,0
1699,Matt Haack,1,0,0,0,0,0,0,0
1700,Stuart Reardon,1,0,0,0,0,0,0,0
1701,Jerry Wayne Ward,1,0,0,0,0,0,0,0
1702,Ikechukwu Somtochukwu,1,0,0,0,0,0,0,0
1703,Rob Parker,1,0,0,0,0,0,0,0
1704,Jack Swagger,1,0,0,0,0,0,0,0
1705,Tom Conman Connors,1,0,0,0,0,0,0,0
1706,Danny Washbrook,1,0,0,0,0,0,0,0
1707,Amanda Bobby Cooper,1,0,0,0,0,0,0,0
1708,Brad Weber,1,0,0,0,0,0,0,0
1709,Ollie Phillips,1,0,0,0,0,0,0,0
1710,Michael Johnson,1,0,0,0,0,0,0,0
1711,Jacob Heppner,1,0,0,0,0,0,0,0
1712,Dr. Andrew Neighbors,1,0,0,0,0,0,0,0
1713,Marvin Vettori,1,0,0,0,0,0,0,1
1714,Emmanuel Moseley,1,0,0,0,0,0,0,0
1715,Jamal Carter,1,0,0,0,0,0,0,0
1716,Orlan 'OJ' Jackman,1,0,0,0,0,0,0,0
1717,Mitchell Schwartz,1,0,0,0,0,0,0,0
1718,Wayne Gallman II,1,0,0,0,0,0,0,0
1719,Kjersti Buaas,1,0,0,0,0,0,0,0
1720,Brendan Fowler,1,0,0,0,0,0,0,0
1721,Corsley Edwards,1,0,0,0,0,0,0,0
1722,Shaun Wright-Phillips,1,0,0,0,0,0,0,0
1723,Matt LaCosse,1,0,0,0,0,0,0,0
1724,Thomas Rawls,1,0,0,0,0,0,0,0
1725,Travis Homer,1,0,0,0,0,0,0,0
1726,Tommy Passemante,1,0,0,0,0,0,0,0
1727,Thomas Bryant,1,0,0,0,0,0,0,0
1728,Chad Finchum,1,0,0,0,0,0,0,0
1729,Nhooph Al-Areebi,1,0,0,0,0,0,0,0
1730,Suga Rashad Evans,1,0,0,0,0,0,0,1
1731,Teddy Long,1,0,0,0,0,0,0,0
1732,Andre Soukhamthath,1,0,0,0,0,0,0,0
1733,Justin Jackson,1,0,0,0,0,0,0,0
1734,Matt Dickerson,1,0,0,0,0,0,0,0
1735,Josh Emmett,1,0,0,0,0,0,0,1
1736,Cyril Jackson,1,0,0,0,0,0,0,0
1737,Holmar Eyjolfsson,1,0,0,0,0,0,0,0
1738,Djibril Cisse,1,0,0,0,0,0,0,0
1739,Master Wong,1,0,0,0,0,0,0,0
1740,Amani Hooker,1,0,0,0,0,0,0,0
1741,Brian Dawkins Sr,1,0,0,0,0,0,1,0
1742,Vernon Davis,1,0,0,0,0,0,0,0
1743,Kristie Mewis,1,0,0,0,0,0,0,0
1744,Katie Ormerod,1,0,0,0,0,0,0,0
1745,Drew Hankinson,1,0,0,0,0,0,0,0
1746,Dan Otero,1,0,0,0,0,0,0,0
1747,Ardie Savea,1,0,0,0,0,0,0,0
1748,Ginger Ninja Trickster,1,0,0,0,0,0,0,0
1749,Lance Lenoir,1,0,0,0,0,0,0,0
1750,Jaylen Samuels,1,0,0,0,0,0,0,0
1751,Lauren Mueller,1,0,0,0,0,0,0,1
1752,Tom Asta,1,0,0,0,0,0,0,0
1753,Chris Jones,1,0,0,0,0,0,0,0
1754,Shawn Rhoden,1,0,0,0,0,0,0,0
1755,Jon Reyes,1,0,0,0,0,0,0,0
1756,Duke Riley,1,0,0,0,0,0,0,0
1757,Efe Obada,1,0,0,0,0,0,0,0
1758,Vosean Joseph,1,0,0,0,0,0,0,0
1759,Obi Melifonwu,1,0,0,0,0,0,0,0
1760,Aryan Davenport,1,0,0,0,0,0,0,0
1761,Rudy Gay,1,0,0,0,0,0,1,0
1762,Rick Gdovic,1,0,0,0,0,0,0,0
1763,DeVante Wilson,1,0,0,0,0,0,0,0
1764,Taynara Melo,1,0,0,0,0,0,0,0
1765,Landon Milbourne,1,0,0,0,0,0,0,0
1766,Briana Green,1,0,0,0,0,0,0,0
1767,Danny Roberts,1,0,0,0,0,0,0,1
1768,Bryan Fletcher,1,0,0,0,0,0,0,0
1769,Lucy Robson,1,0,0,0,0,0,0,0
1770,Torrie Wilson,1,0,0,0,0,0,0,0
1771,Donteâ€™ Whitner,1,0,0,0,0,0,0,0
1772,Dymonte Thomas,1,0,0,0,0,0,0,0
1773,Channing Frye,1,0,0,0,0,0,0,0
1774,John Scott,1,0,0,0,0,0,0,0
1775,Jamaal Williams,1,0,0,0,0,0,0,0
1776,Aaron Jones,1,0,0,0,0,0,0,0
1777,Zach Green,1,0,0,0,0,0,0,0
1778,Qyntel Woods,1,0,0,0,0,0,0,0
1779,Leah Van Damme,1,1,0,0,0,0,0,0
1780,Kendrick Nunn,1,0,0,0,0,0,0,0
1781,Gursinder Singh,1,0,0,0,0,0,0,0
1782,Kit Cope,1,0,0,0,0,0,0,0
1783,Corey Sanders,1,0,0,0,0,0,0,0
1784,Jordynne Grace,1,0,0,0,0,0,0,0
1785,Zane Gonzalez,1,0,0,0,0,0,0,0
1786,Scott Herman,1,0,0,0,0,0,0,0
1787,Dan Straily,1,0,0,0,0,0,0,0
1788,Brooke Ence,1,0,0,0,0,0,0,0
1789,Andrew Wenger,1,0,0,0,0,0,0,0
1790,Dekoda Watson,1,0,0,0,0,0,0,0
1791,Owain Doull,1,0,0,0,0,0,0,0
1792,Nick Tucker,1,0,0,0,0,0,0,0
1793,Kenny King,1,0,0,0,0,0,0,0
1794,Erik McCoy,1,0,0,0,0,0,0,0
1795,Lashawn Merritt,1,0,0,0,0,0,0,0
1796,Grant Haley,1,0,0,0,0,0,0,0
1797,Imani McGee-Stafford,1,0,0,0,0,0,0,0
1798,Gwen Jorgensen,1,0,0,0,0,0,0,0
1799,Dennis Bermudez,1,0,0,0,0,0,0,1
1800,Chase Edmonds,1,0,0,0,0,0,0,0
1801,Sijara SarJ Eubanks,1,0,0,0,0,0,0,1
1802,Cameron Sims,1,0,0,0,0,0,0,0
1803,Reece â€œHighlightâ€ Humphrey,1,0,0,0,0,0,0,0
1804,Trenton Scott,1,0,0,0,0,0,0,0
1805,Lashard Durr,1,0,0,0,0,0,0,0
1806,Trent Sherfield,1,0,0,0,0,0,0,0
1807,Trent Richardson,1,0,0,0,0,0,0,0
